ALDH1A1	NP_000680.2
BIN1	NP_647593.1
TFF2	NP_005414.1
C2CD2L	NP_055622.3
SPTBN1	NP_003119.2
CRYAB	NP_001876.1
EPB41L1	NP_036288.2
ACTR1A	NP_005727.1
SPTB	NP_001020029.1
FANCC	NP_000127.2
SHANK1	NP_057232.2
FANCA	NP_000126.2
EPB41L2	NP_001422.1
PPA1	NP_066952.1
TANC1	NP_203752.2
MAPK10	NP_620448.1
SPTA1	NP_003117.2
SPTBN2	NP_008877.1
AP1G1	NP_001025178.1
CSRP3	NP_003467.1
KLC1	NP_001123579.1
ODF1	NP_077721.2
NTS	NP_006174.1
ODF2	NP_002531.3
SPAG4	NP_003107.1
SPAG5	NP_006452.3
PRM1	NP_002752.1
ACR	NP_001088.2
ZP2	NP_003451.1
ZPBP	NP_008940.2
MPHOSPH8	NP_059990.2
ZP3	NP_001103824.1
ENGASE	AAM80487.1
TRH	NP_009048.1
TSFM	NP_005717.3
CEP55	NP_060601.3
PCNT	NP_006022.3
OBSCN	NP_001092093.1
NBPF3	NP_115640.1
DTNA	NP_001381.2
GFI1B	NP_004179.3
NFASC	NP_001005388.2
CDK1	NP_001777.1
SOX4	NP_003098.1
OVGP1	NP_002548.3
STATH	NP_003145.1
PROL1	NP_067048.4
GRIA4	NP_000820.3
CSTA	NP_005204.1
CYB5A	NP_683725.1
CYP1A1	NP_000490.1
FLT3LG	NP_001450.2
CLEC11A	NP_002966.1
CDK2	NP_001789.2
RET	NP_066124.1
SCP2	NP_002970.2
NAA10	NP_003482.1
NAT1	NP_000653.3
EHHADH	NP_001957.2
ACAA2	NP_006102.2
CHEK1	NP_001265.2
UBB	NP_061828.1
YY1	NP_003394.1
NR0B1	NP_000466.2
TWIST2	NP_476527.1
CUL1	NP_003583.2
TBX19	NP_005140.1
AXL	NP_068713.2
SOX2	NP_003097.1
GATA4	NP_002043.2
TRERF1	NP_277037.1
ZNF653	NP_620138.1
SOX8	NP_055402.2
PNRC2	NP_060231.1
ADRB2	NP_000015.1
TIMP3	NP_000353.1
TIMP1	NP_003245.1
CCL13	NP_005399.1
CCL8	NP_005614.2
SPOCK1	NP_004589.1
SPOCK3	NP_058646.2
MMP10	NP_002416.1
CUL4A	NP_001008895.1
HIST1H1E	NP_005312.1
CBX5	NP_036249.1
CALD1	NP_149129.2
MMP25	NP_071913.1
DRD3	NP_000787.2
SYT4	NP_065834.1
CACNA1A	NP_075461.2
S100A13	AAH00632.1
SYNCRIP	NP_006363.4
ZDHHC17	NP_056151.2
STON2	NP_149095.2
DRD4	NP_000788.2
SV2B	NP_055663.1
NRXN1	NP_001129131.1
RPL7A	NP_000963.1
HIST3H3	NP_003484.1
MED8	NP_443109.2
MED22	NP_598395.1
MED30	NP_542382.1
MED9	NP_060489.1
DAG1	NP_004384.3
MED11	NP_001001683.1
VAMP1	NP_055046.1
BCAP31	NP_001132929.1
STX1B1	Q15531
VAPB	NP_004729.1
VAMP2	NP_055047.2
EGF	NP_001954.2
SYP	NP_003170.1
VAMP8	NP_003752.2
STX11	NP_003755.2
CPLX1	NP_006642.1
EGFR	NP_005219.2
SYPL1	NP_006745.1
SDC1	NP_002988.3
SDC3	NP_055469.3
EPOR	NP_000112.1
EPHB4	NP_004435.3
TUBA1A	NP_006000.2
VAMP7	NP_005629.1
SCNN1A	NP_001029.1
SCNN1B	NP_000327.2
FASLG	NP_000630.1
DAPK1	NP_004929.2
SLC6A9	NP_964012.2
SEPT2	NP_004395.1
APBA1	NP_001154.2
SEPT5	NP_002679.2
FOS	NP_005243.1
COL4A1	NP_001836.2
DISC1	NP_061132.2
FGFR3	NP_000133.1
NAPA	NP_003818.2
RAB27A	NP_004571.2
STX8	NP_004844.1
UNC13B	NP_006368.3
STXBP6	AAM46624.1
STXBP5	NP_001121187.1
KCNB1	NP_004966.1
TXLNA	NP_787048.1
FGFR1	NP_000595.1
TXLNB	NP_694967.3
SYT7	NP_004191.2
SNAP29	NP_004773.1
SNPH	NP_055538.2
FLT3	NP_004110.2
VAMP3	NP_004772.1
RAB11A	NP_004654.1
CXorf15	NP_060830.1
FLT4	NP_891555.2
STXBP4	NP_848604.3
CD27	NP_001233.1
TRAF5	NP_004610.1
SIVA1	NP_006418.2
CD70	NP_001243.1
CD3D	NP_000723.1
CD8B	NP_742097.1
CD8A	NP_001759.3
ITGA1	NP_852478.1
CSF3R	NP_724781.1
NRAP	NP_932326.2
RASA1	NP_002881.1
CD86	NP_787058.3
DUSP14	NP_008957.1
LRRC23	NP_964013.1
BCR	NP_004318.3
YWHAH	NP_003396.1
SFN	NP_006133.1
YWHAE	NP_006752.1
TRA@	AAH71758.1
TRB@	CAA45056.1
JAK3	NP_000206.2
LY6E	NP_002337.1
HTT	NP_002102.4
IL2RB	NP_000869.1
NPM1	NP_002511.1
CDX2	NP_001256.2
CD3G	NP_000064.1
TRD@	CAA29800.1
MS4A2	NP_000130.1
TRG@	CAA68744.1
SECTM1	NP_002995.1
PI4KA	NP_477352.2
VHL	NP_000542.1
PSMC3	NP_002795.2
PSMC4	NP_006494.1
MYOZ2	NP_057683.1
IRS1	NP_005535.1
LMO1	NP_002306.1
HLA-DRB1	NP_002115.2
FYB	NP_001456.3
ITGA6	NP_001073286.1
SCN8A	NP_055006.1
CD1D	NP_001757.1
ITGB4	NP_000204.3
MARK2	NP_001034558.2
DPP4	NP_001926.2
CXCL12	NP_001029058.1
IL16	AAQ86961.1
SELL	CAB55488.1
PIP	NP_002643.1
SPG21	NP_057714.1
MARCH4	NP_065865.1
NR4A1	NP_002126.2
JAK2	NP_004963.1
GLMN	NP_444504.1
TGFB1I1	NP_001035919.1
FKBP4	NP_002005.1
RPS6KA5	NP_004746.2
FKBP2	NP_004461.2
ARFGEF1	NP_006412.2
FKBP3	NP_002004.1
TCL1A	NP_068801.1
BMX	NP_975010.1
PTPRC	NP_002829.2
SH2D2A	NP_003966.2
MELK	NP_055606.1
MBP	NP_001020272.1
ANXA2	NP_001002858.1
CDC5L	NP_001244.1
HIST1H1B	NP_005313.1
TCP1	NP_110379.2
LMNB1	NP_005564.1
CDC20	NP_001246.2
WRNIP1	NP_064520.2
TUBA8	NP_061816.1
ALOX5	NP_000689.1
CCT5	NP_036205.1
CCT7	NP_006420.1
POLD1	NP_002682.2
POLD4	NP_066996.3
MXD1	NP_002348.1
CD2BP2	NP_006101.1
PSTPIP1	NP_003969.2
CCRL1	NP_848540.1
MUC1	P15941
TCP10	NP_004601.3
CHD3	NP_001005271.2
NGFR	NP_002498.1
ZHX1	NP_009153.3
NCAPG2	NP_060230.5
ELSPBP1	NP_071425.2
DRG1	NP_004138.1
HNRNPC	P07910
SMG6	NP_060045.4
MCRS1	NP_001012300.1
SMG5	NP_056142.2
POLR3E	NP_060589.1
POLR3D	NP_001713.2
NCAN	NP_004377.2
ACVR1B	NP_004293.1
TDGF1	NP_003203.1
ACVR1C	NP_660302.2
MAP2K6	NP_002749.2
MAPK12	NP_002960.2
CRK	NP_058431.2
IKBKG	NP_001093326.2
TPD52L1	NP_003278.1
CTTN	NP_005222.2
SCARB2	NP_005497.1
CORO1A	NP_009005.1
CDC34	NP_004350.1
THBS2	NP_003238.2
THBS3	NP_009043.1
CSF1R	NP_005202.2
TBXA2R	NP_963998.2
SGTA	NP_003012.1
BANF1	AAC08964.1
AKAP8L	NP_055186.2
GMCL1	NP_848526.1
SGTB	NP_061945.1
FOXO4	NP_005929.2
VIPR1	CAA53046.1
HIST1H4A	NP_003529.1
NUP62	NP_714941.1
FAM46A	NP_060103.2
HIST1H2AJ	NP_066544.1
HIST2H4A	NP_003539.1
HIST2H3C	NP_066403.2
HIST1H2BG	NP_003509.1
NUTF2	NP_005787.1
PHB2	NP_009204.1
TG	NP_003226.4
RAF1	NP_002871.1
HSPA4	NP_002145.3
WEE1	NP_003381.1
TIMP2	NP_003246.1
ADAM17	NP_003174.3
MYO7A	NP_000251.3
MYBPC3	NP_000247.2
MYOM1	NP_003794.3
MYOM2	NP_003961.2
TCAP	NP_003664.1
TRIM63	NP_115977.2
ANKRD1	NP_055206.2
ANKRD2	NP_065082.2
ANKRD23	NP_659431.5
SKP2	NP_005974.2
TFCP2	NP_005644.2
RNF2	NP_009143.1
TFDP1	NP_009042.1
E2F6	NP_001943.1
SERTAD2	NP_055570.1
NFYB	NP_006157.1
USF1	NP_009053.1
NFYC	AAG28389.1
ZHX3	NP_055850.1
ZHX2	NP_055758.1
LRRC7	NP_065845.1
CNTN2	NP_005067.1
CIITA	NP_000237.2
CEBPZ	NP_005751.2
CSDA	NP_003642.3
OGT	NP_858058.1
PURA	NP_005850.1
SP4	NP_003103.2
MEF2C	NP_002388.2
MEF2D	NP_005911.1
KLF10	NP_005646.1
KLF6	NP_001291.3
KLF4	AAH30811.1
SF3A1	NP_005868.1
PER3	NP_058515.1
PPP1R13L	NP_006654.2
RNASEN	NP_037367.3
ZBTB7A	NP_056982.1
MIER1	NP_001071168.2
POGZ	NP_055915.2
GABPA	NP_002031.2
TAF4	NP_003176.2
C14orf106	NP_060823.3
SKIV2L2	NP_056175.3
CASQ2	NP_001223.2
ZEB1	NP_110378.3
FBXO5	NP_036309.1
EVI5	NP_005656.4
DRAP1	NP_006433.2
CHRND	NP_000742.1
GTF2E2	NP_002086.1
GTF2E1	NP_005504.2
AES	NP_945320.1
GTF2A2	NP_004483.1
GTF2A1	NP_056943.1
TCEA1	NP_006747.1
GTF2H4	NP_001508.1
TAF6	NP_005632.1
GTF2F1	NP_002087.2
CCNH	NP_001230.1
SUPT16H	NP_009123.1
STAT6	NP_003144.3
SMARCC1	NP_003065.3
TRIM28	NP_005753.1
NOLC1	AAH01883.1
MED23	NP_004821.2
TAF9	NP_003178.1
TEAD1	NP_068780.1
MEF2A	NP_005578.2
VGLL1	NP_057351.1
YAP1	NP_001123617.1
VGLL4	NP_001121691.1
VGLL2	NP_872586.1
CTDSP1	NP_067021.1
GRM3	NP_000831.2
PDLIM1	NP_066272.1
TAF5	NP_008882.2
C19orf2	NP_003787.2
POLR2E	NP_002686.2
TRAM2	NP_036420.1
GNB5	NP_057278.2
PLEKHB1	NP_067023.1
BRD2	AAH63840.1
SP2	NP_003101.3
NDN	NP_002478.1
TFDP2	NP_006277.1
TRRAP	NP_003487.1
CHEK2	NP_001005735.1
TP53BP1	NP_001135452.1
TOPBP1	NP_008958.2
ARID3A	NP_005215.1
CDK7	NP_001790.1
GRM4	NP_000832.1
XPC	NP_004619.3
KIF13A	NP_071396.4
FUBP1	AAH17247.1
MMS19	NP_071757.4
DRD2	NP_000786.1
PDE6G	NP_002593.1
FNBP1	NP_055848.1
GTF2H2	NP_001506.1
SH2D1A	NP_002342.1
MAP4K5	NP_006566.2
NCSTN	NP_056146.1
ADAM15	NP_997080.1
OCRL	NP_000267.2
ABI2	AAF70308.1
POLR2A	NP_000928.1
CTNND2	NP_001323.1
YTHDC1	AAH41119.1
GPX1	NP_000572.2
PALLD	NP_057165.3
CABLES2	NP_112492.2
SHD	NP_064594.3
ZDHHC16	NP_115703.2
CABLES1	NP_001094089.1
LPHN1	NP_001008701.1
ANKS1A	NP_056060.2
CEBPE	NP_001796.2
HIPK2	NP_073577.3
NLK	NP_057315.3
TF	NP_001054.1
TFR2	NP_003218.2
HFE	NP_000401.1
GABARAP	NP_009209.1
RAPGEF1	NP_941372.1
SHOC2	NP_031399.2
IRAK2	NP_001561.3
RASGRP1	NP_005730.2
BRAP	AAC24200.1
RASSF1	NP_733832.1
IKZF3	NP_036613.2
DLG3	NP_066943.2
GPSM2	NP_037428.3
TTC1	NP_003305.1
RGL1	NP_055964.3
RASSF2	NP_055552.1
ZBTB12	NP_862825.1
DPYSL5	NP_064519.2
PLXNA1	NP_115618.3
HSH2D	NP_116244.1
GRK7	NP_631948.1
ART1	NP_004305.2
MOS	NP_005363.1
HDAC6	NP_006035.2
GMEB1	NP_006573.2
RASGRP2	NP_005816.2
TFAP2B	NP_003212.2
MYPN	NP_115967.2
CCNT1	NP_001231.2
TUBA3C	NP_005992.1
DNMT3A	NP_072046.2
SUPT3H	O75486
NMI	NP_004679.2
ZBTB17	NP_003434.2
PFDN5	BAA14006.1
ACTL6A	NP_004292.1
BRD1	NP_055392.1
MYCBP	NP_036465.2
EPHB1	NP_004432.1
MYCBP2	NP_055872.3
SPAG9	NP_001124000.1
MINA	NP_694822.2
DDR2	NP_006173.2
EFNB1	NP_004420.1
PRKCI	NP_002731.4
TXK	NP_003319.2
EDN1	NP_001946.3
UBQLN4	NP_064516.2
CAV2	NP_001224.1
PTPRE	NP_006495.1
PTPN21	NP_008970.2
TRPC6	NP_004612.2
SNTA1	NP_003089.1
GRLF1	NP_004482.4
BCL2A1	NP_004040.1
ASAP1	NP_060952.2
STAP2	NP_060190.2
GUCY2C	NP_004954.2
SSX2IP	NP_054740.3
MT-ND2	NP_776057.1
SH3PXD2A	NP_055446.2
ANKRD11	NP_037407.4
KCNQ5	NP_062816.2
DOK4	NP_060580.2
CEACAM3	NP_001806.2
MAPK15	NP_620590.2
FARP2	NP_055623.1
TLK2	AAH44925.1
AGTR2	NP_000677.2
PTK6	NP_005966.1
NRG2	NP_053585.1
TGFB2	AAA50404.1
FMOD	NP_002014.2
TGFBR3	NP_003234.2
FCN1	NP_001994.2
ACVRL1	NP_000011.2
LTBP3	NP_001123616.1
EIF3I	NP_003748.1
ITGB8	NP_002205.1
RAPSN	NP_005046.2
VASN	NP_612449.2
TGFB3	NP_003230.1
AMHR2	NP_065434.1
BMPR1B	NP_001194.1
STRAP	NP_009109.3
TGFBRAP1	NP_004248.2
PPP2R2A	NP_002708.1
RAI14	NP_001138997.1
C16orf59	NP_079384.2
CCNB2	NP_004692.1
HSPB1	NP_001531.1
TMSB4X	NP_066932.1
EIF5A	NP_001137232.1
S100A7	NP_002954.2
MAP3K12	NP_006292.2
RAVER1	NP_597709.2
KPNA4	NP_002259.1
PLCD1	NP_001124436.1
PPHLN1	NP_057572.5
PDCD7	NP_005698.1
CNTNAP2	NP_054860.1
JAG1	NP_000205.1
KAT2A	NP_066564.2
JAG2	NP_002217.3
LFNG	NP_001035257.1
MFNG	NP_002396.2
DTX1	NP_004407.2
ITCH	Q96J02
MAML2	NP_115803.1
MAML3	NP_061187.2
DTX2	NP_065943.2
WDR12	NP_060726.3
SMC3	NP_005436.1
RAB3GAP2	NP_036546.2
TBC1D25	NP_002527.1
SCOC	NP_115936.2
EXOSC8	NP_852480.1
MAPKAPK2	NP_116584.2
EXOSC6	NP_478126.1
CCNB1	NP_114172.1
TPBG	NP_006661.1
TNNT1	NP_003274.3
TMOD2	NP_055363.1
CTNNB1	NP_001895.1
ACAT2	NP_005882.2
SERPINF1	NP_002606.3
PIK3C2B	NP_002637.3
TNNI1	NP_003272.3
TNNI2	NP_003273.1
TNNC1	NP_003271.1
TNNT3	NP_006748.1
TNNC2	NP_003270.1
PKD2L1	NP_057196.2
TPH1	NP_004170.1
TPSAB1	NP_003285.2
AICDA	NP_065712.1
RHEB	NP_005605.1
TSC1	NP_000359.1
NEK1	NP_036356.1
LAMB1	NP_002282.2
USP8	NP_005145.3
MAP1A	NP_002364.5
MAP1LC3A	NP_852610.1
GRM7	NP_870989.1
TP63	NP_003713.3
PFDN4	NP_002614.2
TBCE	NP_003184.1
RTN4	NP_065393.1
LGALS2	NP_006489.1
NCALD	NP_114430.2
HSPH1	NP_006635.2
SIRT2	NP_036369.2
TAOK2	NP_057235.2
SNCAIP	NP_005451.2
NOS2	NP_000616.3
SYT6	NP_995320.1
MTA1	NP_004680.2
CRIPT	NP_054890.1
SYT9	NP_783860.1
TTBK1	NP_115927.1
ARL8B	NP_060654.1
MAP6	NP_149052.1
C20orf20	NP_060740.1
TUBB2C	NP_006079.1
RNF19A	NP_056250.3
CENPJ	NP_060921.3
TUBGCP3	NP_006313.1
TM4SF1	NP_055035.1
SDCBP2	NP_536737.3
CHUK	NP_001269.3
TAX1BP1	NP_006015.4
LDB3	NP_009009.1
TNIP2	NP_077285.3
EPHA5	NP_004430.4
EPHA4	NP_004429.1
EPHA6	NP_001073917.2
UBE2A	NP_003327.2
BCL2L1	NP_612815.1
NEU3	NP_006647.3
PTGS2	NP_000954.1
HNF4A	CAA89989.1
ELL	NP_006523.1
HSPA9	NP_004125.3
CSNK1D	NP_001884.2
TSG101	NP_006283.1
CCNG1	NP_004051.1
MERTK	NP_006334.2
PTEN	NP_000305.3
ZNF148	NP_068799.2
VRK1	NP_003375.1
STK11	NP_000446.1
AURKA	NP_003591.2
UBE2K	NP_005330.1
PLK3	NP_004064.2
CDC14A	NP_201569.1
CDC14B	NP_201588.1
MED17	NP_004259.3
PTTG1	NP_004210.1
EFEMP2	NP_058634.3
BRF1	NP_001510.2
TAF1B	NP_005671.2
TAF1C	NP_005670.2
STK4	NP_006273.1
WWOX	NP_057457.1
SHISA5	NP_057563.3
CUL9	NP_055904.1
GNL3	NP_055181.3
TAF9B	NP_057059.2
PIAS4	NP_056981.2
COPS3	NP_003644.2
RCHY1	NP_056251.2
SIRT1	NP_036370.2
PRIM1	NP_000937.1
TP53INP1	NP_150601.1
ING4	AAG43153.1
COPS4	NP_057213.2
GPS2	NP_004480.1
TP53RK	NP_291028.3
GPS1	NP_997657.1
PLAGL1	NP_006709.2
SETD7	NP_085151.1
MDC1	NP_055456.2
ING5	NP_115705.2
BANP	NP_524576.2
COPS6	NP_006824.2
COPS7A	NP_057403.1
WASF2	NP_008921.1
COPS8	NP_006701.1
TLR2	NP_003255.2
TLR4	NP_612564.1
TNK2	NP_001010938.1
CASP10	NP_116759.2
PIP4K2B	NP_003550.1
RIPK1	NP_003795.2
RIPK2	NP_003812.1
MADD	NP_003673.3
BAG4	NP_004865.1
PSMD2	NP_002799.3
ERAP1	NP_057526.3
TRPC4AP	NP_056453.1
RIPK3	NP_006862.2
SPRY1	NP_955359.1
TNFRSF1B	NP_001057.1
LAX1	NP_060243.2
TTRAP	NP_057698.2
TRAIP	NP_005870.2
HIVEP3	NP_078779.2
SYNJ1	NP_003886.3
NCKIPSD	NP_057537.1
MAP3K8	NP_005195.2
MAP3K14	NP_003945.2
TH	NP_954986.2
BCAS2	NP_005863.1
SYNJ2	NP_003889.1
FIGF	NP_004460.1
VEGFC	NP_005420.1
RUSC1	NP_001098673.1
SHC3	NP_058544.3
SH2B1	NP_056318.2
KIDINS220	NP_065789.1
NGFRAP1	NP_055195.1
U2AF1	NP_006749.1
ZRSR2	NP_005080.1
MTA3	NP_065795.1
NXF1	NP_006353.2
RP9	NP_976033.1
SF3A3	NP_006793.1
DDX6	NP_004388.2
SF1	NP_004621.2
LY6G6F	NP_001003693.1
SFRS11	NP_004759.1
TCERG1	NP_006697.2
UQCRC2	NP_003357.2
UQCRC1	NP_003356.2
KHDRBS2	NP_689901.2
UCHL1	NP_004172.2
RPS27A	NP_002945.1
COL17A1	NP_000485.3
MED28	NP_079481.2
GGA3	NP_619525.1
MAST2	NP_055927.2
GGA1	NP_037497.1
SHKBP1	NP_612401.2
JUB	NP_116265.1
ST14	NP_068813.1
SCGB1A1	NP_003348.1
CUBN	NP_001072.2
CSE1L	NP_001307.2
ARVCF	NP_001661.1
CA9	NP_001207.2
ACTR3	NP_005712.1
CBLL1	NP_079090.2
PHC2	NP_932157.1
ATP6V1B1	NP_001683.2
MSN	NP_002435.1
VCAM1	NP_001069.1
CCL17	NP_002978.1
MEGF6	NP_001400.3
CCL22	NP_002981.2
ITGAD	NP_005344.2
GPC1	NP_002072.2
SEMA3F	NP_004177.3
NRP1	NP_003864.4
NRP2	NP_957718.1
MEGF8	NP_001401.2
ADAMTS1	NP_008919.3
RAMP1	NP_005846.1
RAMP2	NP_005845.2
RAMP3	NP_005847.1
AVPR1B	NP_000698.1
AUP1	NP_036235.1
ELF5	NP_938195.1
ITGA2	NP_002194.2
ITGA4	NP_000876.3
LPXN	NP_001137467.1
ADAM28	NP_068548.1
EED	NP_003788.2
LGALS8	NP_006490.3
AGTPBP1	NP_056054.2
RELN	NP_005036.2
SLC18A2	NP_003045.2
ARMCX2	NP_055597.1
HAP1	NP_003940.3
CTNNA1	NP_001894.2
ERCC5	NP_000114.2
PKP1	NP_000290.2
DEFB1	NP_005209.1
CRMP1	NP_001014809.1
PPL	NP_002696.3
BFSP1	NP_001186.1
SH3GL3	NP_003018.3
HSPA2	NP_068814.2
DNM1L	NP_036192.2
MICAL1	NP_073602.3
UTP14A	NP_006640.2
MYST2	NP_008998.1
ATXN3	NP_004984.2
UPP1	NP_003355.1
PLA2G4A	NP_077734.1
OSBP2	NP_110385.1
PCBP1	NP_006187.2
C7orf64	NP_115496.2
UPP2	NP_001128570.1
KIAA1377	NP_065853.2
ASGR2	NP_550434.1
ASGR1	NP_001662.1
CORO2B	NP_006082.3
KLF1	NP_006554.1
DHFR	NP_000782.1
ETV6	NP_001978.1
AMPH	NP_001626.1
LACRT	NP_150593.1
AZGP1	CAA42438.1
PLP1	NP_000524.3
PAK4	NP_005875.1
CYR61	NP_001545.2
EDIL3	NP_005702.3
BAK1	NP_001179.1
VBP1	NP_003363.1
TCEB2	NP_996896.1
TCEB1	NP_005639.1
RNF139	NP_009149.2
CCT3	NP_005989.3
HIF1AN	NP_060372.2
PHF17	NP_955352.1
USP33	NP_055832.3
ZNF197	NP_008922.1
HIF3A	NP_690008.2
VWF	NP_000543.2
CDK5	NP_004926.1
LASS2	NP_859530.1
CDCA3	NP_112589.1
BRSK1	NP_115806.1
LIG3	NP_039269.2
NEIL1	NP_078884.2
RPL7	NP_000962.2
ZNF7	NP_003407.1
ZNF8	NP_066575.2
ZNF174	NP_003441.1
ZNF24	NP_008896.2
ZNF10	NP_056209.2
ZNF74	NP_003417.2
MZF1	NP_932172.1
SCAND1	NP_361012.1
ZNF20	NP_066966.2
ACACA	NP_942131.1
NARS	NP_004530.1
CYP17A1	NP_000093.1
C1R	NP_001724.3
ACLY	NP_001087.2
DPYS	NP_001376.1
SI	NP_001032.2
FBLN1	NP_006477.2
EPR1	AAA19687.1
F7	NP_000122.1
EFEMP1	NP_004096.2
SERPINA10	NP_057270.1
FANCE	NP_068741.1
FANCG	NP_004620.1
FANCF	NP_073562.1
ATP2A1	NP_775293.1
ZBTB32	NP_055198.1
KLKB1	NP_000883.2
HABP2	NP_004123.1
CPN1	NP_001299.1
RXFP4	NP_871001.1
ALDOB	NP_000026.2
FDPS	NP_001995.1
ATXN1	NP_000323.2
CTSA	NP_000299.2
GLB1	NP_000395.2
NEU1	NP_000425.1
F12	NP_000496.2
FLNB	NP_001448.2
TPST1	NP_003587.1
OSGEP	NP_060277.1
KCNMA1	NP_001014797.1
GGT1	NP_038347.2
CSRP1	NP_004069.1
ATP6V0A4	NP_065683.2
CYBA	NP_000092.2
TRAF4	NP_004286.2
SYTL1	AAK67636.1
ATP2B1	NP_001673.2
NCF2	NP_000424.2
RAC2	NP_002863.1
PRDX6	NP_004896.1
CPS1	NP_001116105.1
APOC2	NP_000474.2
NAT2	NP_000006.2
PDK2	NP_002602.2
DLAT	NP_001922.2
ATP2B4	NP_001675.3
BCKDHB	NP_000047.1
BCKDHA	NP_000700.1
PYCARD	NP_037390.2
MEFV	NP_000234.1
COG5	NP_006339.3
GUSB	NP_000172.2
LAMP2	NP_001116078.1
SLC4A4	NP_001128214.1
SLC4A8	NP_001035049.1
GIF	NP_005133.2
KLK13	NP_056411.1
SERPINB12	NP_536722.1
GM2A	NP_000396.2
HEXA	NP_000511.2
SPINK5	NP_001121170.1
CDH23	NP_071407.4
USH1C	NP_710142.1
VEZT	NP_060069.3
KEAP1	NP_036421.2
MYRIP	NP_056275.2
GPN1	NP_009197.2
CETN2	NP_004335.1
LSM3	NP_055278.1
RAD23B	NP_002865.1
MID1	NP_000372.1
IGBP1	NP_001542.1
MID2	NP_036348.2
MECP2	NP_001104262.1
SFI1	NP_001007468.1
IL2RG	NP_000197.1
IL9R	NP_002177.2
GRIN2A	NP_000824.1
ATP2B2	NP_001001331.1
CLCN5	NP_001121370.1
ATOX1	NP_004036.1
ATP7A	NP_000043.3
BAZ1B	BAA89210.1
SMARCA1	NP_003060.2
GRM8	NP_000836.2
GRM5	BAA05892.1
SIGLEC10	NP_149121.2
FBLIM1	NP_001019386.1
PDZD11	NP_057568.1
PDCD2	NP_002589.2
PSIP1	NP_150091.2
CREB3	AAC04325.1
CREBZF	NP_001034707.1
PPARGC1B	NP_573570.2
BCL2	NP_000624.2
ATP2A2	NP_733765.1
HCFC1R1	NP_060355.1
MED25	NP_112235.2
ATRX	NP_000480.2
MTUS1	NP_001001924.1
PTPN13	NP_542416.1
RGS3	NP_652759.3
POU3F4	NP_000298.2
RAD21	NP_006256.1
GUCA1B	NP_002089.4
GUCY2F	NP_001513.2
USP11	NP_004642.2
DRP2	NP_001930.2
PRX	NP_066007.1
STX7	NP_003560.2
LAMA1	NP_005550.2
PYGB	NP_002853.2
FXN	NP_000135.2
AP3D1	NP_003929.4
STX3	NP_004168.1
FYN	NP_002028.1
XIAP	NP_001158.2
MAGED1	NP_001005333.1
MAP3K7	NP_663304.1
MAP3K7IP1	NP_006107.1
MAP3K7IP2	NP_055908.1
DIABLO	NP_063940.1
HTRA2	NP_037379.1
COMMD1	NP_689729.1
XAF1	NP_059993.2
STRADB	NP_061041.2
ATP6V0C	NP_001685.1
ATP6V1E1	NP_001687.1
IDH3A	NP_005521.1
IDH3G	NP_004126.1
IDH3B	NP_008830.2
HECW1	NP_055867.3
SSR4	NP_006271.1
SSR3	NP_009038.1
ATP6V1G2	NP_569730.1
RAB9A	NP_004242.1
RHOH	NP_004301.1
RAB1B	NP_112243.1
RHOD	NP_055393.1
DIAPH2	NP_006720.1
CABP4	NP_660201.1
CACNA1F	NP_005174.2
ATP6V1H	NP_998785.1
PLP2	NP_002659.1
DCX	NP_000546.2
NPR3	NP_000899.1
NPPA	NP_006163.1
BYSL	NP_004044.3
TRO	NP_001034794.1
IGSF1	NP_001546.2
ACVR2B	NP_001097.2
RANBP10	NP_065901.1
HECTD1	NP_056197.2
TRAPPC2	NP_055378.1
CLIC2	NP_001280.3
MME	NP_000893.2
PPP6C	NP_001116827.1
PAK3	NP_001121640.1
ARHGEF6	NP_004831.1
MYO6	NP_004990.3
ARHGEF7	NP_001106983.1
GIT2	NP_476510.1
CITED1	NP_001138357.1
TFAP2C	NP_003213.1
NPR1	NP_000897.3
NPPB	NP_002512.1
LIMS1	NP_004978.2
DDX3X	NP_001347.3
EIF2S3	NP_001406.1
FHL1	NP_001440.2
NPPC	NP_077720.1
NPR2	NP_003986.2
KCNJ2	NP_000882.1
GABPB1	NP_005245.2
CIC	NP_055940.3
PARK2	NP_004553.2
LIN7A	NP_004655.1
CADM1	NP_055148.3
TSPYL2	NP_071400.1
TBR1	NP_006584.1
ID1	NP_002156.2
NRXN3	CAC87720.2
KCNJ12	NP_066292.2
DFNB31	NP_056219.2
LIN7B	NP_071448.1
CASKIN1	NP_065815.1
NRXN2	NP_055895.1
CNTNAP4	NP_207837.2
FCHSD2	NP_055639.2
PSMD10	NP_002805.1
MAGEA4	NP_002353.3
MED14	NP_004220.2
MED29	NP_060062.1
SSB	NP_003133.1
FSIP2	NP_775922.1
FSIP1	NP_689810.3
EIF5	NP_001960.2
EIF1AX	NP_001403.1
IPO13	NP_055467.3
MED12	NP_005111.2
CDK8	NP_001251.1
MED26	NP_004822.2
LYST	NP_000072.2
MED13	NP_005112.2
NLGN3	NP_061850.2
FBP1	NP_000498.2
GABRD	NP_000806.2
GUCY1A2	NP_000846.1
SEMA4C	NP_060259.4
GDA	NP_004284.1
SYNGAP1	NP_006763.2
DLGAP4	NP_055717.2
SSX2	NP_003138.3
TBL1X	NP_005638.1
SKP1	NP_733779.1
CORO2A	NP_003380.3
GYG1	NP_004121.2
